text,label,specialization
"Срочно, капитан, механика барахлит, действуй!",Ремонт механики,Капитан
"Срочно, капитан, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Капитан
"Механика в хламе — чини, пока не взорвалось, капитан!",Ремонт механики,Капитан
"Срочно, двигатель подвел, исправь, капитан!",Ремонт механики,Капитан
"Капитан, всё гремит, почини механику!",Ремонт механики,Капитан
"Капитан, быстрее, двигатель подвел, исправь!",Ремонт механики,Капитан
"Капитан, срочно, всё гремит, почини механику!",Ремонт механики,Капитан
"Механика дышит последними силами — не дай ей умереть, капитан!",Ремонт механики,Капитан
"Капитан, давай живее, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Давай живее, всё гремит, почини механику, капитан!",Ремонт механики,Капитан
"Капитан, срочно, двигатель подвел, исправь!",Ремонт механики,Капитан
"Давай живее, капитан, механика заклинила, чини!",Ремонт механики,Капитан
"Капитан, быстрее, осмотри двигатель, там трещит!",Ремонт механики,Капитан
"Немедленно, механика дышит последними силами — не дай ей умереть, капитан!",Ремонт механики,Капитан
"Быстрее, нам нужна подвижность, чини механику, капитан!",Ремонт механики,Капитан
"Пока не поздно, двигатель подвел, исправь, капитан!",Ремонт механики,Капитан
"Пока не поздно, капитан, двигатель подвел, исправь!",Ремонт механики,Капитан
"Давай живее, двигатель подвел, исправь, капитан!",Ремонт механики,Капитан
"Давай живее, капитан, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Капитан
"Срочно, нам нужна подвижность, чини механику, капитан!",Ремонт механики,Капитан
"Пока не поздно, всё гремит, почини механику, капитан!",Ремонт механики,Капитан
"Немедленно, механика заклинила, чини, капитан!",Ремонт механики,Капитан
"Пока не поздно, капитан, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Капитан
"Давай живее, капитан, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Капитан
"Капитан, срочно, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Капитан
"Пока не поздно, капитан, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Нам нужна подвижность, капитан, чини механику!",Ремонт механики,Капитан
"Быстрее, двигатель подвел, исправь, капитан!",Ремонт механики,Капитан
"Быстрее, капитан, срочно ремонтируй механику!",Ремонт механики,Капитан
"Механика в хламе — чини, капитан, пока не взорвалось!",Ремонт механики,Капитан
"Срочно ремонтируй механику, капитан!",Ремонт механики,Капитан
"Капитан, давай живее, осмотри двигатель, там трещит!",Ремонт механики,Капитан
"Срочно, капитан, осмотри двигатель, там трещит!",Ремонт механики,Капитан
"Капитан, немедленно, почини механизмы, срочно!",Ремонт механики,Капитан
"Пока не поздно, осмотри двигатель, там трещит, капитан!",Ремонт механики,Капитан
"Механика барахлит, капитан, действуй!",Ремонт механики,Капитан
"Срочно, механика в хламе — чини, пока не взорвалось, капитан!",Ремонт механики,Капитан
"Давай живее, замени шестерни, давай живее, капитан!",Ремонт механики,Капитан
"Немедленно, капитан, механика заклинила, чини!",Ремонт механики,Капитан
"Капитан, давай живее, замени шестерни, давай живее!",Ремонт механики,Капитан
"Немедленно, замени шестерни, давай живее, капитан!",Ремонт механики,Капитан
"Капитан, срочно, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Капитан
"Быстрее, механика заклинила, чини, капитан!",Ремонт механики,Капитан
"Капитан, почини механизмы, срочно!",Ремонт механики,Капитан
"Срочно, почини механизмы, срочно, капитан!",Ремонт механики,Капитан
"Давай живее, нам нужна подвижность, чини механику, капитан!",Ремонт механики,Капитан
"Капитан, быстрее, срочно ремонтируй механику!",Ремонт механики,Капитан
"Быстрее, срочно ремонтируй механику, капитан!",Ремонт механики,Капитан
"Капитан, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Замени шестерни, капитан, давай живее!",Ремонт механики,Капитан
"Всё гремит, капитан, почини механику!",Ремонт механики,Капитан
"Осмотри двигатель, там трещит, капитан!",Ремонт механики,Капитан
"Капитан, срочно ремонтируй механику!",Ремонт механики,Капитан
"Срочно, механика дышит последними силами — не дай ей умереть, капитан!",Ремонт механики,Капитан
"Капитан, давай живее, механика заклинила, чини!",Ремонт механики,Капитан
"Замени шестерни, давай живее, капитан!",Ремонт механики,Капитан
"Немедленно, капитан, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Капитан
"Капитан, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Капитан
"Двигатель подвел, капитан, исправь!",Ремонт механики,Капитан
"Капитан, механика барахлит, действуй!",Ремонт механики,Капитан
"Капитан, немедленно, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Срочно, осмотри двигатель, там трещит, капитан!",Ремонт механики,Капитан
"Немедленно, капитан, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Капитан
